,zone_number,county,road_type_descri_ption,road_name,fatal_collisions,serious_collisions,minor_collisions,total_collisions,start_latitude,start_longtitude,end_latitude,end_longtitude,length_km,type
155,1314,Dublin,Regional,R121,0,1,6,7,53.394176,-6.39739,53.396868,-6.392844,0.43,New
156,1315,Dublin,Regional,R121,0,1,11,12,53.39806,-6.390653,53.400533,-6.38081,0.71,New
157,1316,Dublin,Regional,R122,0,2,0,2,53.591301,-6.275602,53.595686,-6.263354,0.95,New
158,1317,Dublin,Regional,R122,0,1,6,7,53.603911,-6.209349,53.606937,-6.20252,0.57,New
159,1321,Dublin,Regional,R125,0,3,0,3,53.443945,-6.214746,53.447226,-6.220453,0.54,New
160,1322,Dublin,Regional,R125,0,1,2,3,53.463039,-6.221713,53.46505,-6.21566,0.54,New
161,1324,Dublin,Regional,R125,0,2,2,4,53.490835,-6.323059,53.489034,-6.312472,0.74,New
162,1325,Dublin,Regional,R126,0,1,3,4,53.48132,-6.190319,53.482713,-6.182694,0.56,New
163,1326,Dublin,Regional,R128,1,0,2,3,53.545109,-6.099242,53.552344,-6.102111,0.85,New
164,1327,Dublin,Regional,R128,1,1,0,2,53.561427,-6.103741,53.568172,-6.101807,0.76,New
165,1328,Dublin,Regional,R131,0,3,15,18,53.316311,-6.205048,53.336443,-6.217618,2.51,New
166,1329,Dublin,Regional,R131,1,2,9,12,53.360331,-6.238465,53.352514,-6.224988,1.25,New
167,1330,Dublin,Regional,R131,0,0,10,10,53.36342,-6.257913,53.360331,-6.238465,1.35,New
168,1331,Dublin,Regional,R132,0,2,8,10,53.357365,-6.263976,53.361385,-6.259737,0.53,New
169,1332,Dublin,Regional,R132,0,8,39,47,53.362847,-6.258437,53.382882,-6.244192,2.44,New
170,1333,Dublin,Regional,R132,1,3,9,13,53.397319,-6.245064,53.387691,-6.244323,1.12,New
